sn84020631,daily-new-mexican,Santa Fe Daily New Mexican,"Santa Fe, N.M."
sn88071076,santa-fe-gazette,Santa Fe Gazette,"Santa Fe, N.M."
sn88071075,santa-fe-weekly-gazette,Santa Fe Weekly Gazette,"Santa Fe, N.M."
sn84022168,santa-fe-weekly-gazette,Santa Fe Weekly Gazette,"Santa Fe, N.M."
sn84022165,santa-fe-weekly-gazette,Santa Fe Weekly Gazette,"Santa Fe, N.M."
sn84020630,santa-fe-new-mexican,Santa Fe New Mexican,"Santa Fe, N.M."
sn84020626,santa-fe-new-mexican-review,Santa Fe New Mexican and Review,"Santa Fe, N.M."
sn94057006,sierra-county-advocate,Sierra County Advocate,"Kingston, N.M."
sn92070455,socorro-chieftain,Socorro Chieftain,"Socorro, N.M."
sn86090503,socorro-chieftain,Socorro Chieftain,"Socorro, N.M."
sn86090456,southwest-sentinel,Southwest-Sentinel,"Silver City, N.M."
sn92061524,spanish-american,Spanish American,"Roy, N.M."
sn94057002,taiban-valley-news,Taiban Valley News,"Taiban, N.M."
sn93061711,tucumcari-news-times,Tucumcari News and Tucumcari Times,"Tucumcari, N.M."
sn93061709,tucumcari-news,Tucumcari News,"Tucumcari, N.M."
sn87067095,weekly-new-mexican-review,Weekly New Mexican Review,"Santa Fe, N.M."
sn87067094,weekly-new-mexican-review-livestock,Weekly New Mexican Review and Live Stock Journal,"Santa Fe, N.M."
sn92070405,lordsburg-western-liberal,Western Liberal,"Lordsburg, N.M."
sn87090065,white-oaks-eagle,White Oaks Eagle,"White Oaks, N.M."
